step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
30,5.261017,5.414135,3.1e-06,491520,1655.1,12.0568,31.0,2.41,10.21,2026-04-19T03:41:25.349544
40,5.106553,5.33724,4.1000000000000006e-06,655360,1650.1,9.923,40.9,2.41,10.21,2026-04-19T03:41:35.278715
50,4.855176,5.240827,5.1e-06,819200,1663.5,13.7162,50.8,2.41,10.21,2026-04-19T03:41:45.129693
60,4.617961,5.137016,6.100000000000001e-06,983040,1649.5,10.8857,60.7,2.41,10.21,2026-04-19T03:41:55.059843
70,4.468647,5.041535,7.1e-06,1146880,1651.6,8.996,70.6,2.41,10.21,2026-04-19T03:42:04.980519
80,4.261116,4.943982,8.1e-06,1310720,1648.0,7.5719,80.6,2.41,10.21,2026-04-19T03:42:14.922496
90,4.062661,4.846058,9.100000000000001e-06,1474560,1648.3,5.3644,90.5,2.41,10.21,2026-04-19T03:42:24.862374
100,3.65294,4.726746,1.01e-05,1638400,1647.8,5.2273,100.4,2.41,10.21,2026-04-19T03:42:34.805196
110,3.811242,4.643518,1.11e-05,1802240,1646.0,4.3144,110.4,2.41,10.21,2026-04-19T03:42:44.758972
120,3.626664,4.55878,1.2100000000000001e-05,1966080,1650.2,4.0059,120.3,2.41,10.21,2026-04-19T03:42:54.687299
130,3.556086,4.48165,1.3100000000000002e-05,2129920,1647.5,3.8982,130.3,2.41,10.21,2026-04-19T03:43:04.632109
140,3.5008,4.411589,1.41e-05,2293760,1646.6,4.8391,140.2,2.41,10.21,2026-04-19T03:43:14.584841
150,3.481594,4.34959,1.5100000000000001e-05,2457600,1649.5,4.8948,150.2,2.41,10.21,2026-04-19T03:43:24.514709
160,3.540869,4.299045,1.6100000000000002e-05,2621440,1647.5,4.2655,160.1,2.41,10.21,2026-04-19T03:43:34.459386
170,3.34201,4.242748,1.7100000000000002e-05,2785280,1648.5,3.7382,170.0,2.41,10.21,2026-04-19T03:43:44.398197
180,3.214349,4.185615,1.8100000000000003e-05,2949120,1648.3,3.5005,180.0,2.41,10.21,2026-04-19T03:43:54.338384
190,3.473879,4.148155,1.9100000000000003e-05,3112960,1646.0,3.0211,189.9,2.41,10.21,2026-04-19T03:44:04.292272
200,3.172696,4.099382,2e-05,3276800,1646.8,3.0557,199.9,2.41,10.21,2026-04-19T03:44:14.241127
210,3.252109,4.059036,1.999999380251525e-05,3440640,1646.8,4.2935,209.8,2.41,10.21,2026-04-19T03:44:24.190111
220,3.116402,4.016189,1.9999975210069527e-05,3604480,1646.0,3.5519,219.8,2.41,10.21,2026-04-19T03:44:34.143720
230,3.204672,3.980906,1.9999944222688443e-05,3768320,1646.2,2.7355,229.7,2.41,10.21,2026-04-19T03:44:44.096457
240,3.425519,3.957765,1.999990084041467e-05,3932160,1642.7,3.7946,239.7,2.41,10.21,2026-04-19T03:44:54.070392
10,5.694085,5.694085,1.1e-06,204800,0,10.6512,13.6,2.6,12.19,2026-04-19T03:45:58.038682
20,5.551603,5.622844,2.1000000000000002e-06,409600,1694.9,8.914,25.7,2.6,12.19,2026-04-19T03:46:10.121519
30,5.13554,5.460409,3.1e-06,614400,1687.5,14.5932,37.9,2.6,12.19,2026-04-19T03:46:22.257684
40,5.110597,5.372956,4.1000000000000006e-06,819200,1686.0,8.684,50.0,2.6,12.19,2026-04-19T03:46:34.404929
50,4.708433,5.240052,5.1e-06,1024000,1697.0,9.7205,62.1,2.6,12.19,2026-04-19T03:46:46.473456
10,5.735156,5.735156,1.1e-06,204800,0,10.0938,13.6,2.6,12.19,2026-04-19T03:47:54.975993
20,5.709667,5.722412,2.1000000000000002e-06,409600,1702.4,9.5502,25.7,2.6,12.19,2026-04-19T03:48:07.005768
30,5.2958,5.580208,3.1e-06,614400,1691.6,9.4299,37.8,2.6,12.19,2026-04-19T03:48:19.112912
40,5.320439,5.515266,4.1000000000000006e-06,819200,1688.7,9.5067,49.9,2.6,12.19,2026-04-19T03:48:31.240793
50,5.171172,5.446447,5.1e-06,1024000,1688.8,8.4574,62.0,2.6,12.19,2026-04-19T03:48:43.367681
60,4.575723,5.301326,6.100000000000001e-06,1228800,1682.6,11.12,74.2,2.6,12.19,2026-04-19T03:48:55.540200
70,4.445633,5.179084,7.1e-06,1433600,1684.3,11.0534,86.4,2.6,12.19,2026-04-19T03:49:07.698712
80,4.245205,5.062349,8.1e-06,1638400,1685.3,6.3419,98.5,2.6,12.19,2026-04-19T03:49:19.850842
90,3.979298,4.94201,9.100000000000001e-06,1843200,1684.5,5.6211,110.7,2.6,12.19,2026-04-19T03:49:32.009049
100,3.708301,4.818639,1.01e-05,2048000,1685.6,4.806,122.8,2.6,12.19,2026-04-19T03:49:44.159255
110,3.572566,4.70536,1.11e-05,2252800,1682.6,4.1955,135.0,2.6,12.19,2026-04-19T03:49:56.330563
120,3.691345,4.620859,1.2100000000000001e-05,2457600,1681.7,4.0892,147.2,2.6,12.19,2026-04-19T03:50:08.508456
130,3.72643,4.552057,1.3100000000000002e-05,2662400,1683.3,4.5828,159.3,2.6,12.19,2026-04-19T03:50:20.675029
140,3.53328,4.479287,1.41e-05,2867200,1683.2,3.568,171.5,2.6,12.19,2026-04-19T03:50:32.842106
150,3.609444,4.421297,1.5100000000000001e-05,3072000,1682.9,3.2795,183.7,2.6,12.19,2026-04-19T03:50:45.011252
160,3.291581,4.35069,1.6100000000000002e-05,3276800,1685.7,3.0488,195.8,2.6,12.19,2026-04-19T03:50:57.160345
170,3.199439,4.282969,1.7100000000000002e-05,3481600,1681.5,3.5845,208.0,2.6,12.19,2026-04-19T03:51:09.340137
180,3.521594,4.240671,1.8100000000000003e-05,3686400,1683.1,3.4018,220.2,2.6,12.19,2026-04-19T03:51:21.508005
190,3.600428,4.206974,1.9100000000000003e-05,3891200,1682.6,32.7713,232.3,2.6,12.19,2026-04-19T03:51:33.679906
200,3.052315,4.149241,2e-05,4096000,1683.3,2.772,244.5,2.6,12.19,2026-04-19T03:51:45.846563
210,3.030195,4.095953,1.9999990280155898e-05,4300800,1685.8,3.4765,256.7,2.6,12.19,2026-04-19T03:51:57.995048
220,3.290983,4.059363,1.9999961120644578e-05,4505600,1683.8,3.6626,268.8,2.6,12.19,2026-04-19T03:52:10.158247
230,3.009593,4.013721,1.9999912521529025e-05,4710400,1684.5,2.9339,281.0,2.6,12.19,2026-04-19T03:52:22.316337
240,3.339635,3.985634,1.9999844482914213e-05,4915200,1682.5,3.0332,293.1,2.6,12.19,2026-04-19T03:52:34.489036
250,3.212835,3.954722,1.9999757004947103e-05,5120000,1680.6,2.8895,305.3,2.6,12.19,2026-04-19T03:52:46.675217
260,3.270637,3.928411,1.9999650087816647e-05,5324800,1684.9,2.9254,317.5,2.6,12.19,2026-04-19T03:52:58.830272
270,3.281227,3.904442,1.9999523731753772e-05,5529600,1685.8,3.0188,329.6,2.6,12.19,2026-04-19T03:53:10.979120
280,3.186159,3.878789,1.9999377937031415e-05,5734400,1688.1,3.5912,341.8,2.6,12.19,2026-04-19T03:53:23.110819
290,3.414496,3.862778,1.9999212703964484e-05,5939200,1686.3,3.2436,353.9,2.6,12.19,2026-04-19T03:53:35.255378
300,3.131351,3.838398,1.9999028032909872e-05,6144000,1688.8,2.7387,366.0,2.6,12.19,2026-04-19T03:53:47.382856
310,3.056847,3.813186,1.9998823924266467e-05,6348800,1684.8,2.5643,378.2,2.6,12.19,2026-04-19T03:53:59.538515
320,2.952836,3.7863,1.9998600378475136e-05,6553600,1685.3,2.5801,390.3,2.6,12.19,2026-04-19T03:54:11.690307
330,3.463152,3.776508,1.9998357396018725e-05,6758400,1685.2,2.908,402.5,2.6,12.19,2026-04-19T03:54:23.843876
340,3.087363,3.756239,1.9998094977422076e-05,6963200,1685.1,2.6873,414.7,2.6,12.19,2026-04-19T03:54:35.996773
350,3.108904,3.737744,1.9997813123251997e-05,7168000,1689.4,2.6166,426.8,2.6,12.19,2026-04-19T03:54:48.119348
360,2.881579,3.713961,1.9997511834117287e-05,7372800,1688.0,2.1846,438.9,2.6,12.19,2026-04-19T03:55:00.251736
370,2.963081,3.693667,1.999719111066872e-05,7577600,1688.0,2.7601,451.0,2.6,12.19,2026-04-19T03:55:12.384360
380,3.061977,3.677044,1.9996850953599048e-05,7782400,1686.0,2.3796,463.2,2.6,12.19,2026-04-19T03:55:24.531676
390,2.88374,3.656703,1.9996491363642997e-05,7987200,1684.5,2.9453,475.3,2.6,12.19,2026-04-19T03:55:36.689626
400,2.807375,3.63547,1.9996112341577267e-05,8192000,1688.6,2.1757,487.5,2.6,12.19,2026-04-19T03:55:48.820823
410,3.021108,3.620485,1.9995713888220535e-05,8396800,1688.3,2.9173,499.6,2.6,12.19,2026-04-19T03:56:00.948727
420,3.282143,3.612429,1.9995296004433446e-05,8601600,1686.7,4.2792,511.8,2.6,12.19,2026-04-19T03:56:13.090718
430,2.890165,3.595632,1.9994858691118616e-05,8806400,1685.5,2.7398,523.9,2.6,12.19,2026-04-19T03:56:25.241525
440,3.260731,3.588021,1.9994401949220624e-05,9011200,1688.2,2.7892,536.0,2.6,12.19,2026-04-19T03:56:37.372985
450,2.822663,3.571013,1.999392577972602e-05,9216000,1685.5,3.2547,548.2,2.6,12.19,2026-04-19T03:56:49.523628
460,2.862358,3.555608,1.999343018366331e-05,9420800,1686.9,3.4183,560.3,2.6,12.19,2026-04-19T03:57:01.664594
470,2.978169,3.543322,1.9992915162102964e-05,9625600,1687.8,5.9147,572.5,2.6,12.19,2026-04-19T03:57:13.798791
480,2.763588,3.527077,1.9992380716157413e-05,9830400,1685.4,2.28,584.6,2.6,12.19,2026-04-19T03:57:25.949806
490,2.80954,3.512434,1.9991826846981043e-05,10035200,1686.3,2.8941,596.8,2.6,12.19,2026-04-19T03:57:38.094813
500,3.083115,3.503847,1.999125355577019e-05,10240000,1689.7,2.6722,608.9,2.6,12.19,2026-04-19T03:57:50.215848
510,2.762007,3.489301,1.9990660843763145e-05,10444800,683.0,2.4031,638.9,2.6,12.19,2026-04-19T03:58:20.201890
520,2.948784,3.478907,1.999004871224014e-05,10649600,1687.6,2.5013,651.0,2.6,12.19,2026-04-19T03:58:32.336729
530,3.031322,3.470462,1.9989417162523364e-05,10854400,1688.3,2.0937,663.1,2.6,12.19,2026-04-19T03:58:44.467294
540,2.964637,3.461095,1.998876619597694e-05,11059200,1690.6,3.493,675.2,2.6,12.19,2026-04-19T03:58:56.581491
550,3.141355,3.455281,1.9988095814006935e-05,11264000,1691.3,3.0783,687.3,2.6,12.19,2026-04-19T03:59:08.690299
560,2.904984,3.445454,1.998740601806135e-05,11468800,1690.9,2.3395,699.5,2.6,12.19,2026-04-19T03:59:20.802309
570,3.17876,3.440776,1.998669680963012e-05,11673600,1689.2,2.4499,711.6,2.6,12.19,2026-04-19T03:59:32.926059
580,2.846771,3.430534,1.9985968190245108e-05,11878400,1691.2,2.3753,723.7,2.6,12.19,2026-04-19T03:59:45.035712
590,2.922236,3.421919,1.998522016148011e-05,12083200,1693.7,2.7624,735.8,2.6,12.19,2026-04-19T03:59:57.127814
600,2.968961,3.41437,1.998445272495084e-05,12288000,1689.1,2.3817,747.9,2.6,12.19,2026-04-19T04:00:09.251813
610,2.685472,3.40242,1.9983665882314936e-05,12492800,1687.0,2.4488,760.1,2.6,12.19,2026-04-19T04:00:21.391910
620,2.830341,3.393193,1.9982859635271955e-05,12697600,1687.9,2.315,772.2,2.6,12.19,2026-04-19T04:00:33.525652
630,3.074293,3.388131,1.9982033985563356e-05,12902400,1692.0,2.5927,784.3,2.6,12.19,2026-04-19T04:00:45.629686
640,2.894832,3.380424,1.9981188934972513e-05,13107200,1685.0,2.0849,796.4,2.6,12.19,2026-04-19T04:00:57.783904
650,2.82412,3.371865,1.998032448532471e-05,13312000,1687.8,2.4983,808.6,2.6,12.19,2026-04-19T04:01:09.917665
660,2.912497,3.364905,1.9979440638487127e-05,13516800,1688.9,2.6494,820.7,2.6,12.19,2026-04-19T04:01:22.043779
670,2.84677,3.357172,1.9978537396368844e-05,13721600,1688.3,2.1838,832.8,2.6,12.19,2026-04-19T04:01:34.174149
680,2.800408,3.348984,1.997761476092083e-05,13926400,1690.2,2.5314,845.0,2.6,12.19,2026-04-19T04:01:46.291136
690,2.879295,3.342177,1.997667273413595e-05,14131200,1689.8,2.5379,857.1,2.6,12.19,2026-04-19T04:01:58.410883
700,2.821,3.334731,1.9975711318048945e-05,14336000,1691.9,2.8081,869.2,2.6,12.19,2026-04-19T04:02:10.515482
710,2.920045,3.328891,1.997473051473644e-05,14540800,1684.2,2.7556,881.3,2.6,12.19,2026-04-19T04:02:22.675728
720,2.967052,3.323865,1.997373032631694e-05,14745600,1689.3,2.3251,893.5,2.6,12.19,2026-04-19T04:02:34.799448
730,2.975306,3.319091,1.9972710754950813e-05,14950400,1683.8,2.387,905.6,2.6,12.19,2026-04-19T04:02:46.962419
740,2.886618,3.313246,1.9971671802840302e-05,15155200,1688.0,2.6326,917.8,2.6,12.19,2026-04-19T04:02:59.094968
750,2.884824,3.307534,1.99706134722295e-05,15360000,1689.4,2.2834,929.9,2.6,12.19,2026-04-19T04:03:11.217841
760,2.64643,3.298835,1.9969535765404377e-05,15564800,1688.0,1.8966,942.0,2.6,12.19,2026-04-19T04:03:23.350069
770,3.095919,3.2962,1.9968438684692734e-05,15769600,1686.2,2.5786,954.2,2.6,12.19,2026-04-19T04:03:35.495948
780,2.990396,3.292279,1.9967322232464226e-05,15974400,1692.1,2.4137,966.3,2.6,12.19,2026-04-19T04:03:47.599144
790,2.710715,3.284918,1.9966186411130355e-05,16179200,1690.9,1.9677,978.4,2.6,12.19,2026-04-19T04:03:59.711738
800,2.707709,3.277703,1.9965031223144458e-05,16384000,1690.6,3.3908,990.5,2.6,12.19,2026-04-19T04:04:11.825310
810,3.009741,3.274395,1.9963856671001696e-05,16588800,1688.6,2.5052,1002.6,2.6,12.19,2026-04-19T04:04:23.953366
