step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
430,6.262222,7.055252,0.0002586,22067200,1718.6,0.6257,1285.2,3.11,11.98,2026-04-18T05:50:35.204937
440,5.954218,7.030784,0.0002646,22579200,1718.8,0.5651,1315.0,3.11,11.98,2026-04-18T05:51:04.993339
450,6.16272,7.011914,0.00027059999999999996,23091200,1716.9,0.4944,1344.8,3.11,11.98,2026-04-18T05:51:34.814335
460,6.084101,6.992173,0.00027659999999999995,23603200,1718.9,0.6048,1374.6,3.11,11.98,2026-04-18T05:52:04.601285
470,6.253139,6.976776,0.0002826,24115200,1717.9,0.6204,1404.4,3.11,11.98,2026-04-18T05:52:34.405042
480,5.962387,6.956074,0.00028859999999999997,24627200,1718.8,0.6096,1434.2,3.11,11.98,2026-04-18T05:53:04.193609
490,5.975753,6.936468,0.00029459999999999995,25139200,1717.7,0.6976,1464.0,3.11,11.98,2026-04-18T05:53:34.000410
500,5.988762,6.917886,0.0003006,25651200,1718.8,0.5723,1493.8,3.11,11.98,2026-04-18T05:54:03.789257
510,5.987652,6.899996,0.00030659999999999997,26163200,996.7,0.7295,1545.2,3.93,12.8,2026-04-18T05:54:55.228358
520,5.90275,6.88118,0.0003126,26675200,1617.6,0.4926,1576.8,3.93,12.8,2026-04-18T05:55:26.822436
530,5.948702,6.863912,0.0003186,27187200,1560.6,0.7046,1609.7,3.93,12.8,2026-04-18T05:56:00.224498
540,5.94182,6.847147,0.0003245999999999999,27699200,1343.8,0.7643,1647.8,3.93,12.8,2026-04-18T05:56:37.859136
550,6.152704,6.834746,0.00033059999999999996,28211200,1013.3,0.6051,1698.3,3.93,12.8,2026-04-18T05:57:28.250432
560,5.870017,6.817821,0.00033659999999999994,28723200,1715.9,0.7369,1728.1,3.93,12.8,2026-04-18T05:57:58.086451
570,5.888158,6.801793,0.0003426,29235200,1713.2,0.5712,1758.0,3.93,12.8,2026-04-18T05:58:27.970744
580,5.851214,6.785681,0.00034859999999999996,29747200,1712.2,0.7747,1787.9,3.93,12.8,2026-04-18T05:58:57.874431
590,5.889512,6.770745,0.00035459999999999995,30259200,1714.3,0.711,1817.8,3.93,12.8,2026-04-18T05:59:27.740969
600,5.877945,6.756109,0.0003606,30771200,1707.5,0.4691,1847.8,3.93,12.8,2026-04-18T05:59:57.727459
610,5.776913,6.740315,0.00036659999999999997,31283200,1712.1,0.7289,1877.7,3.93,12.8,2026-04-18T06:00:27.632010
620,6.014994,6.728802,0.0003726,31795200,1709.5,0.6568,1907.6,3.93,12.8,2026-04-18T06:00:57.582053
630,5.860294,6.715232,0.0003786,32307200,1707.5,0.5921,1937.6,3.93,12.8,2026-04-18T06:01:27.567892
640,5.685437,6.699389,0.0003845999999999999,32819200,1708.5,0.6588,1967.6,3.93,12.8,2026-04-18T06:01:57.536303
650,5.603746,6.682788,0.00039059999999999995,33331200,1706.3,0.526,1997.6,3.93,12.8,2026-04-18T06:02:27.543153
660,6.018114,6.672868,0.00039659999999999994,33843200,1709.1,0.6225,2027.5,3.93,12.8,2026-04-18T06:02:57.498645
670,5.908597,6.661628,0.0004026,34355200,1710.4,0.6314,2057.5,3.93,12.8,2026-04-18T06:03:27.433347
680,5.76317,6.648607,0.00040859999999999996,34867200,1710.8,0.6366,2087.4,3.93,12.8,2026-04-18T06:03:57.361439
690,5.765818,6.635996,0.0004146,35379200,1709.3,0.719,2117.3,3.93,12.8,2026-04-18T06:04:27.315389
700,5.675037,6.622461,0.0004206,35891200,1707.7,0.6865,2147.3,3.93,12.8,2026-04-18T06:04:57.296525
710,5.467419,6.606419,0.00042659999999999996,36403200,1706.9,0.529,2177.3,3.93,12.8,2026-04-18T06:05:27.292993
720,5.560875,6.592097,0.0004326,36915200,1707.5,0.5665,2207.3,3.93,12.8,2026-04-18T06:05:57.279030
730,5.520519,6.577616,0.00043859999999999993,37427200,1717.4,0.9352,2237.1,3.93,12.8,2026-04-18T06:06:27.092034
740,5.700719,6.565924,0.00044459999999999996,37939200,1718.3,0.6088,2266.9,3.93,12.8,2026-04-18T06:06:56.889763
750,5.496306,6.55185,0.00045059999999999995,38451200,1718.1,0.5069,2296.7,3.93,12.8,2026-04-18T06:07:26.689245
760,5.713398,6.540961,0.00045659999999999993,38963200,1718.3,0.6085,2326.5,3.93,12.8,2026-04-18T06:07:56.486831
770,5.597387,6.528864,0.00046259999999999997,39475200,1717.9,0.5679,2356.3,3.93,12.8,2026-04-18T06:08:26.291139
780,5.614414,6.517289,0.00046859999999999995,39987200,1719.0,0.5148,2386.1,3.93,12.8,2026-04-18T06:08:56.076319
790,5.887392,6.509415,0.0004746,40499200,1717.6,2.4317,2415.9,3.93,12.8,2026-04-18T06:09:25.885709
800,5.679294,6.499166,0.00048059999999999997,41011200,1718.9,1.0713,2445.7,3.93,12.8,2026-04-18T06:09:55.672308
810,5.765214,6.490216,0.00048659999999999996,41523200,1717.5,0.9888,2475.5,3.93,12.8,2026-04-18T06:10:25.482836
820,5.60271,6.479523,0.0004925999999999999,42035200,1718.3,2.3469,2505.3,3.93,12.8,2026-04-18T06:10:55.279263
830,5.515471,6.468046,0.0004986,42547200,1717.2,0.5719,2535.1,3.93,12.8,2026-04-18T06:11:25.095511
840,5.845493,6.460722,0.0005045999999999999,43059200,1717.3,0.5032,2564.9,3.93,12.8,2026-04-18T06:11:54.909148
850,5.645646,6.451244,0.0005105999999999999,43571200,1718.8,0.5659,2594.7,3.93,12.8,2026-04-18T06:12:24.697604
